,video,frame,path,number_of_cells,centers_x,centers_y,radius,index_trajectoriessplit,number_of_cells_corrected
77,E00,78,E00/Frame078.png,2,"[226, 287]","[193, 266]","[80, 82]",,2
78,E00,79,E00/Frame079.png,2,"[226, 287]","[193, 266]","[80, 82]",,2
79,E00,80,E00/Frame080.png,2,"[226, 287]","[193, 266]","[80, 82]",,2
80,E00,81,E00/Frame081.png,2,"[226, 287]","[193, 266]","[80, 82]",,2
81,E00,82,E00/Frame082.png,2,"[226, 287]","[194, 266]","[80, 82]",,2
82,E00,83,E00/Frame083.png,2,"[227, 288]","[194, 266]","[80, 82]",,2
83,E00,84,E00/Frame084.png,2,"[228, 289]","[194, 266]","[79, 82]",,2
84,E00,85,E00/Frame085.png,2,"[229, 291]","[194, 267]","[79, 82]",,2
85,E00,86,E00/Frame086.png,2,"[231, 292]","[194, 267]","[79, 82]",,2
86,E00,87,E00/Frame087.png,2,"[232, 293]","[194, 267]","[79, 83]",,2
87,E00,88,E00/Frame088.png,2,"[233, 294]","[194, 268]","[79, 82]",,2
88,E00,89,E00/Frame089.png,2,"[234, 294]","[194, 268]","[80, 82]",,2
89,E00,90,E00/Frame090.png,2,"[234, 294]","[194, 268]","[80, 82]",,2
90,E00,91,E00/Frame091.png,2,"[235, 295]","[194, 269]","[80, 82]",,2
91,E00,92,E00/Frame092.png,2,"[235, 295]","[195, 269]","[80, 82]",,2
92,E00,93,E00/Frame093.png,2,"[235, 295]","[195, 269]","[81, 82]",,2
93,E00,94,E00/Frame094.png,2,"[235, 295]","[195, 269]","[81, 82]",,2
94,E00,95,E00/Frame095.png,2,"[235, 295]","[195, 269]","[81, 82]",,2
95,E00,96,E00/Frame096.png,2,"[235, 295]","[195, 269]","[81, 82]",,2
96,E00,97,E00/Frame097.png,2,"[235, 295]","[195, 269]","[81, 83]",,2
97,E00,98,E00/Frame098.png,2,"[236, 295]","[195, 268]","[81, 83]",,2
98,E00,99,E00/Frame099.png,2,"[236, 295]","[195, 269]","[81, 83]",,2
99,E00,100,E00/Frame100.png,2,"[236, 295]","[195, 269]","[81, 83]",,2
100,E00,101,E00/Frame101.png,2,"[236, 295]","[195, 269]","[81, 83]",,2
101,E00,102,E00/Frame102.png,2,"[236, 295]","[195, 270]","[81, 83]",,2
102,E00,103,E00/Frame103.png,2,"[236, 295]","[195, 270]","[81, 83]",,2
103,E00,104,E00/Frame104.png,2,"[236, 295]","[196, 270]","[81, 82]",,2
104,E00,105,E00/Frame105.png,2,"[236, 294]","[196, 269]","[81, 82]",,2
105,E00,106,E00/Frame106.png,2,"[236, 294]","[196, 269]","[81, 82]",,2
106,E00,107,E00/Frame107.png,2,"[236, 294]","[196, 269]","[81, 82]",,2
107,E00,108,E00/Frame108.png,2,"[236, 294]","[196, 268]","[81, 82]",,2
108,E00,109,E00/Frame109.png,2,"[236, 294]","[197, 268]","[82, 82]",,2
109,E00,110,E00/Frame110.png,2,"[236, 293]","[197, 267]","[82, 82]",,2
110,E00,111,E00/Frame111.png,2,"[236, 293]","[196, 267]","[82, 82]",,2
111,E00,112,E00/Frame112.png,2,"[236, 294]","[196, 266]","[82, 82]",,2
112,E00,113,E00/Frame113.png,2,"[236, 294]","[196, 266]","[82, 82]",,2
113,E00,114,E00/Frame114.png,2,"[236, 294]","[196, 266]","[82, 83]",,2
114,E00,115,E00/Frame115.png,2,"[236, 294]","[196, 266]","[82, 83]",,2
115,E00,116,E00/Frame116.png,2,"[236, 294]","[197, 265]","[83, 83]",,2
116,E00,117,E00/Frame117.png,2,"[236, 293]","[197, 265]","[82, 84]",,2
117,E00,118,E00/Frame118.png,2,"[236, 293]","[197, 265]","[82, 84]",,2
118,E00,119,E00/Frame119.png,2,"[235, 292]","[196, 265]","[81, 84]",,2
119,E00,120,E00/Frame120.png,2,"[235, 292]","[195, 265]","[81, 84]",,2
120,E00,121,E00/Frame121.png,2,"[235, 292]","[195, 265]","[81, 84]",,2
121,E00,122,E00/Frame122.png,2,"[235, 292]","[194, 265]","[81, 84]",,2
122,E00,123,E00/Frame123.png,2,"[236, 292]","[194, 265]","[81, 84]",,2
123,E00,124,E00/Frame124.png,2,"[237, 293]","[194, 265]","[81, 84]",,2
124,E00,125,E00/Frame125.png,2,"[237, 293]","[194, 264]","[81, 84]",,2
125,E00,126,E00/Frame126.png,2,"[237, 293]","[193, 264]","[81, 85]",,2
126,E00,127,E00/Frame127.png,2,"[237, 293]","[193, 264]","[81, 85]",,2
127,E00,128,E00/Frame128.png,2,"[238, 293]","[194, 264]","[81, 85]",,2
128,E00,129,E00/Frame129.png,2,"[238, 294]","[194, 264]","[81, 85]",,2
129,E00,130,E00/Frame130.png,2,"[238, 294]","[195, 265]","[81, 85]",,2
130,E00,131,E00/Frame131.png,2,"[238, 294]","[196, 265]","[82, 84]",,2
131,E00,132,E00/Frame132.png,2,"[238, 293]","[196, 265]","[82, 85]",,2
132,E00,133,E00/Frame133.png,2,"[238, 293]","[197, 265]","[82, 84]",,2
133,E00,134,E00/Frame134.png,2,"[238, 293]","[197, 266]","[82, 85]",,2
134,E00,135,E00/Frame135.png,2,"[238, 293]","[198, 266]","[82, 85]",,2
135,E00,136,E00/Frame136.png,2,"[238, 292]","[198, 266]","[82, 85]",,2
136,E00,137,E00/Frame137.png,2,"[238, 292]","[198, 266]","[82, 85]",,2
137,E00,138,E00/Frame138.png,2,"[237, 292]","[198, 267]","[82, 85]",,2
138,E00,139,E00/Frame139.png,2,"[237, 292]","[198, 267]","[82, 85]",,2
139,E00,140,E00/Frame140.png,2,"[237, 292]","[198, 267]","[81, 85]",,2
140,E00,141,E00/Frame141.png,2,"[237, 293]","[198, 267]","[81, 85]",,2
141,E00,142,E00/Frame142.png,2,"[237, 293]","[198, 267]","[82, 84]",,2
142,E00,143,E00/Frame143.png,2,"[238, 294]","[198, 266]","[82, 84]",,2
143,E00,144,E00/Frame144.png,2,"[238, 294]","[198, 266]","[81, 84]",,2
144,E00,145,E00/Frame145.png,2,"[238, 294]","[198, 266]","[82, 84]",,2
145,E00,146,E00/Frame146.png,2,"[239, 294]","[198, 266]","[81, 84]",,2
146,E00,147,E00/Frame147.png,2,"[239, 294]","[198, 266]","[82, 84]",,2
147,E00,148,E00/Frame148.png,2,"[239, 294]","[198, 266]","[82, 85]",,2
148,E00,149,E00/Frame149.png,2,"[240, 295]","[198, 266]","[82, 85]",,2
149,E00,150,E00/Frame150.png,2,"[241, 295]","[199, 266]","[83, 85]",,2
150,E00,151,E00/Frame151.png,2,"[241, 296]","[199, 266]","[83, 84]",,2
151,E00,152,E00/Frame152.png,2,"[241, 296]","[199, 266]","[82, 84]",,2
152,E00,153,E00/Frame153.png,2,"[241, 296]","[199, 267]","[81, 84]",,2
153,E00,154,E00/Frame154.png,2,"[241, 297]","[199, 267]","[81, 84]",,2
154,E00,155,E00/Frame155.png,2,"[241, 297]","[198, 268]","[81, 83]",,2
155,E00,156,E00/Frame156.png,2,"[241, 297]","[199, 268]","[81, 84]",,2
156,E00,157,E00/Frame157.png,2,"[241, 296]","[199, 268]","[82, 84]",,2
157,E00,158,E00/Frame158.png,2,"[241, 296]","[200, 268]","[83, 84]",,2
158,E00,159,E00/Frame159.png,2,"[241, 296]","[200, 268]","[83, 84]",,2
159,E00,160,E00/Frame160.png,2,"[241, 297]","[200, 268]","[83, 84]",,2
160,E00,161,E00/Frame161.png,2,"[241, 297]","[201, 268]","[83, 84]",,2
161,E00,162,E00/Frame162.png,2,"[241, 297]","[201, 268]","[82, 83]",,2
162,E00,163,E00/Frame163.png,2,"[241, 297]","[201, 267]","[82, 84]",,2
163,E00,164,E00/Frame164.png,2,"[241, 297]","[201, 267]","[82, 84]",,2
164,E00,165,E00/Frame165.png,2,"[240, 297]","[200, 267]","[81, 84]",,2
165,E00,166,E00/Frame166.png,2,"[240, 297]","[200, 268]","[81, 83]",,2
166,E00,167,E00/Frame167.png,2,"[240, 297]","[200, 268]","[82, 83]",,2
167,E00,168,E00/Frame168.png,2,"[239, 297]","[200, 269]","[82, 83]",,2
168,E00,169,E00/Frame169.png,2,"[239, 297]","[201, 269]","[82, 83]",,2
169,E00,170,E00/Frame170.png,2,"[239, 297]","[201, 269]","[82, 83]",,2
170,E00,171,E00/Frame171.png,2,"[239, 297]","[201, 269]","[82, 83]",,2
171,E00,172,E00/Frame172.png,2,"[238, 296]","[200, 269]","[82, 83]",,2
172,E00,173,E00/Frame173.png,2,"[238, 296]","[200, 270]","[81, 83]",,2
173,E00,174,E00/Frame174.png,2,"[238, 296]","[199, 270]","[82, 83]",,2
174,E00,175,E00/Frame175.png,2,"[237, 296]","[199, 271]","[82, 83]",,2
175,E00,176,E00/Frame176.png,2,"[237, 296]","[200, 271]","[83, 83]",,2
176,E00,177,E00/Frame177.png,2,"[237, 295]","[199, 271]","[83, 82]",,2
177,E00,178,E00/Frame178.png,2,"[237, 295]","[199, 271]","[83, 82]",,2
178,E00,179,E00/Frame179.png,2,"[237, 294]","[199, 271]","[83, 82]",,2
179,E00,180,E00/Frame180.png,2,"[237, 294]","[199, 270]","[83, 82]",,2
180,E00,181,E00/Frame181.png,2,"[236, 293]","[199, 270]","[82, 83]",,2
181,E00,182,E00/Frame182.png,2,"[236, 293]","[198, 270]","[82, 83]",,2
182,E00,183,E00/Frame183.png,2,"[236, 291]","[197, 270]","[82, 84]",,2
183,E00,184,E00/Frame184.png,3,"[236, 328, 261]","[197, 233, 307]","[82, 54, 64]",,3
184,E00,185,E00/Frame185.png,3,"[236, 328, 256]","[196, 232, 308]","[82, 55, 63]",,3
185,E00,186,E00/Frame186.png,3,"[237, 329, 253]","[195, 234, 309]","[82, 56, 63]",,3
186,E00,187,E00/Frame187.png,3,"[236, 329, 250]","[195, 235, 310]","[81, 56, 62]",,3
187,E00,188,E00/Frame188.png,3,"[235, 329, 249]","[195, 236, 311]","[81, 55, 62]",,3
188,E00,189,E00/Frame189.png,3,"[235, 330, 248]","[195, 238, 312]","[81, 55, 61]",,3
189,E00,190,E00/Frame190.png,3,"[234, 330, 247]","[195, 240, 312]","[80, 54, 61]",,3
190,E00,191,E00/Frame191.png,3,"[233, 329, 247]","[195, 241, 312]","[80, 54, 60]",,3
191,E00,192,E00/Frame192.png,3,"[232, 329, 246]","[194, 242, 313]","[80, 55, 60]",,3
192,E00,193,E00/Frame193.png,3,"[232, 328, 245]","[193, 242, 313]","[80, 56, 61]",,3
193,E00,194,E00/Frame194.png,3,"[231, 327, 244]","[193, 242, 313]","[79, 57, 61]",,3
194,E00,195,E00/Frame195.png,3,"[231, 326, 243]","[192, 241, 312]","[79, 58, 62]",,3
195,E00,196,E00/Frame196.png,4,"[211, 256, 325, 242]","[187, 228, 240, 311]","[64, 61, 58, 63]",,4
196,E00,197,E00/Frame197.png,4,"[213, 247, 324, 241]","[188, 223, 240, 311]","[64, 61, 58, 63]",,4
197,E00,198,E00/Frame198.png,4,"[213, 245, 324, 240]","[188, 220, 240, 310]","[64, 62, 58, 62]",,4
198,E00,199,E00/Frame199.png,4,"[214, 243, 323, 240]","[188, 218, 239, 309]","[64, 63, 58, 62]",,4
199,E00,200,E00/Frame200.png,4,"[215, 244, 323, 239]","[187, 216, 238, 309]","[63, 63, 58, 62]",,4
200,E00,201,E00/Frame201.png,4,"[215, 244, 323, 239]","[187, 214, 238, 308]","[63, 62, 57, 61]",,4
201,E00,202,E00/Frame202.png,4,"[214, 245, 322, 239]","[186, 212, 237, 307]","[63, 61, 57, 62]",,4
202,E00,203,E00/Frame203.png,4,"[214, 246, 322, 238]","[186, 210, 237, 306]","[62, 60, 57, 62]",,4
203,E00,204,E00/Frame204.png,4,"[214, 246, 322, 237]","[185, 208, 236, 305]","[62, 60, 56, 62]",,4
204,E00,205,E00/Frame205.png,4,"[213, 246, 322, 237]","[185, 207, 237, 305]","[62, 59, 55, 61]",,4
205,E00,206,E00/Frame206.png,4,"[213, 245, 322, 237]","[184, 206, 236, 304]","[62, 59, 56, 62]",,4
206,E00,207,E00/Frame207.png,4,"[213, 245, 322, 236]","[183, 205, 236, 304]","[62, 59, 56, 62]",,4
207,E00,208,E00/Frame208.png,4,"[213, 245, 321, 236]","[182, 205, 235, 304]","[62, 59, 56, 61]",,4
208,E00,209,E00/Frame209.png,4,"[214, 244, 320, 236]","[181, 205, 234, 303]","[63, 59, 56, 61]",,4
209,E00,210,E00/Frame210.png,4,"[214, 244, 319, 236]","[180, 206, 233, 303]","[64, 59, 57, 61]",,4
210,E00,211,E00/Frame211.png,4,"[215, 243, 318, 236]","[180, 206, 232, 303]","[64, 59, 57, 61]",,4
211,E00,212,E00/Frame212.png,4,"[215, 243, 317, 236]","[179, 206, 230, 303]","[64, 60, 58, 60]",,4
212,E00,213,E00/Frame213.png,4,"[215, 243, 317, 236]","[179, 207, 230, 303]","[64, 59, 58, 61]",,4
213,E00,214,E00/Frame214.png,4,"[214, 242, 316, 236]","[179, 207, 229, 303]","[64, 59, 57, 61]",,4
214,E00,215,E00/Frame215.png,4,"[214, 243, 316, 236]","[179, 208, 229, 303]","[64, 59, 57, 61]",,4
215,E00,216,E00/Frame216.png,4,"[213, 243, 316, 236]","[179, 208, 229, 302]","[64, 58, 57, 61]",,4
216,E00,217,E00/Frame217.png,4,"[213, 244, 315, 235]","[179, 208, 229, 301]","[64, 58, 57, 62]",,4
217,E00,218,E00/Frame218.png,4,"[212, 244, 315, 235]","[179, 208, 228, 299]","[65, 59, 57, 61]",,4
218,E00,219,E00/Frame219.png,4,"[212, 245, 314, 234]","[179, 207, 227, 297]","[64, 60, 58, 60]",,4
219,E00,220,E00/Frame220.png,4,"[211, 245, 313, 234]","[178, 206, 226, 294]","[64, 61, 59, 60]",,4
220,E00,221,E00/Frame221.png,4,"[211, 246, 312, 234]","[177, 206, 226, 291]","[64, 62, 60, 60]",,4
221,E00,222,E00/Frame222.png,4,"[211, 246, 310, 234]","[175, 205, 225, 288]","[64, 61, 61, 59]",,4
222,E00,223,E00/Frame223.png,4,"[211, 247, 309, 233]","[174, 204, 225, 287]","[63, 61, 61, 60]",,4
223,E00,224,E00/Frame224.png,4,"[211, 247, 309, 233]","[173, 203, 225, 285]","[63, 62, 60, 60]",,4
224,E00,225,E00/Frame225.png,4,"[211, 248, 309, 233]","[173, 202, 225, 285]","[63, 61, 60, 60]",,4
225,E00,226,E00/Frame226.png,4,"[211, 248, 309, 233]","[173, 201, 225, 285]","[63, 62, 60, 59]",,4
226,E00,227,E00/Frame227.png,4,"[210, 249, 310, 232]","[173, 201, 225, 284]","[63, 63, 60, 59]",,4
227,E00,228,E00/Frame228.png,4,"[210, 249, 310, 232]","[172, 202, 224, 284]","[63, 64, 60, 59]",,4
228,E00,229,E00/Frame229.png,4,"[210, 250, 310, 232]","[173, 203, 224, 283]","[63, 63, 61, 60]",,4
229,E00,230,E00/Frame230.png,4,"[210, 246, 310, 232]","[173, 205, 223, 283]","[63, 63, 61, 60]",,4
230,E00,231,E00/Frame231.png,4,"[210, 243, 311, 232]","[173, 207, 223, 282]","[63, 62, 60, 60]",,4
231,E00,232,E00/Frame232.png,4,"[210, 239, 311, 232]","[173, 208, 223, 281]","[63, 62, 60, 61]",,4
232,E00,233,E00/Frame233.png,4,"[211, 237, 312, 232]","[173, 209, 222, 281]","[63, 61, 59, 60]",,4
233,E00,234,E00/Frame234.png,4,"[211, 234, 313, 232]","[173, 210, 222, 281]","[63, 60, 59, 60]",,4
234,E00,235,E00/Frame235.png,4,"[211, 235, 313, 232]","[173, 210, 222, 282]","[63, 60, 58, 60]",,4
235,E00,236,E00/Frame236.png,4,"[211, 237, 313, 233]","[174, 209, 222, 282]","[63, 59, 58, 60]",,4
236,E00,237,E00/Frame237.png,4,"[211, 238, 314, 233]","[174, 209, 222, 283]","[63, 59, 58, 60]",,4
237,E00,238,E00/Frame238.png,4,"[212, 239, 314, 233]","[174, 209, 222, 283]","[63, 59, 58, 61]",,4
238,E00,239,E00/Frame239.png,4,"[212, 239, 314, 234]","[175, 210, 222, 283]","[64, 59, 58, 61]",,4
239,E00,240,E00/Frame240.png,4,"[212, 240, 314, 234]","[176, 211, 222, 283]","[64, 59, 57, 61]",,4
240,E00,241,E00/Frame241.png,4,"[213, 240, 314, 234]","[176, 213, 222, 283]","[64, 60, 58, 61]",,4
241,E00,242,E00/Frame242.png,4,"[213, 240, 314, 234]","[177, 214, 223, 283]","[65, 60, 58, 61]",,4
242,E00,243,E00/Frame243.png,4,"[213, 241, 314, 235]","[178, 216, 223, 282]","[65, 61, 58, 62]",,4
243,E00,244,E00/Frame244.png,4,"[213, 241, 314, 235]","[178, 217, 224, 282]","[65, 60, 58, 62]",,4
244,E00,245,E00/Frame245.png,4,"[212, 241, 314, 235]","[179, 219, 224, 282]","[65, 59, 58, 63]",,4
245,E00,246,E00/Frame246.png,4,"[212, 241, 314, 236]","[179, 219, 225, 282]","[65, 59, 58, 63]",,4
246,E00,247,E00/Frame247.png,4,"[211, 241, 314, 236]","[179, 220, 224, 282]","[65, 59, 59, 64]",,4
247,E00,248,E00/Frame248.png,4,"[210, 241, 314, 236]","[180, 221, 225, 282]","[65, 59, 59, 63]",,4
248,E00,249,E00/Frame249.png,4,"[210, 242, 313, 236]","[180, 222, 225, 282]","[65, 59, 59, 63]",,4
249,E00,250,E00/Frame250.png,4,"[210, 242, 313, 236]","[180, 222, 225, 282]","[65, 60, 59, 63]",,4
250,E00,251,E00/Frame251.png,4,"[210, 242, 313, 236]","[181, 222, 226, 282]","[65, 61, 59, 63]",,4
251,E00,252,E00/Frame252.png,4,"[209, 243, 313, 235]","[181, 222, 226, 283]","[65, 62, 59, 62]",,4
252,E00,253,E00/Frame253.png,4,"[209, 240, 313, 235]","[181, 222, 226, 283]","[65, 62, 60, 62]",,4
253,E00,254,E00/Frame254.png,4,"[209, 237, 313, 234]","[181, 223, 226, 284]","[65, 62, 60, 62]",,4
254,E00,255,E00/Frame255.png,4,"[208, 235, 312, 233]","[181, 223, 225, 284]","[65, 62, 61, 62]",,4
255,E00,256,E00/Frame256.png,4,"[208, 232, 313, 233]","[182, 223, 225, 284]","[65, 61, 61, 62]",,4
256,E00,257,E00/Frame257.png,4,"[208, 230, 313, 234]","[182, 224, 224, 284]","[64, 60, 61, 62]",,4
257,E00,258,E00/Frame258.png,4,"[208, 231, 315, 234]","[182, 223, 224, 283]","[64, 60, 60, 62]",,4
258,E00,259,E00/Frame259.png,3,"[209, 231, 236]","[181, 224, 283]","[64, 60, 63]",,5
259,E00,260,E00/Frame260.png,3,"[209, 231, 238]","[181, 226, 284]","[64, 60, 62]",,5
260,E00,261,E00/Frame261.png,3,"[210, 230, 239]","[182, 227, 285]","[64, 60, 61]",,5
261,E00,262,E00/Frame262.png,3,"[210, 229, 240]","[182, 227, 288]","[64, 60, 60]",,5
262,E00,263,E00/Frame263.png,2,"[210, 227]","[183, 227]","[64, 60]",,6
263,E00,264,E00/Frame264.png,2,"[209, 226]","[183, 225]","[64, 60]",,6
264,E00,265,E00/Frame265.png,2,"[209, 228]","[184, 226]","[64, 61]",,6
265,E00,266,E00/Frame266.png,2,"[207, 230]","[184, 228]","[64, 62]",,6
266,E00,267,E00/Frame267.png,1,[234],[229],[62],,7
267,E00,268,E00/Frame268.png,1,[237],[230],[63],,7
268,E00,269,E00/Frame269.png,1,[242],[234],[63],,7
269,E00,270,E00/Frame270.png,1,[246],[236],[63],,7
270,E00,271,E00/Frame271.png,1,[248],[237],[63],,7
271,E00,272,E00/Frame272.png,1,[250],[239],[63],,7
272,E00,273,E00/Frame273.png,1,[252],[242],[63],,7
273,E00,274,E00/Frame274.png,1,[252],[243],[63],,7
274,E00,275,E00/Frame275.png,0,[],[],[],,8
275,E00,276,E00/Frame276.png,0,[],[],[],,8
276,E01,1,E01/Frame001.png,1,[246],[237],[105],,1
277,E01,2,E01/Frame002.png,1,[247],[243],[105],,1
278,E01,3,E01/Frame003.png,1,[248],[248],[104],,1
279,E01,4,E01/Frame004.png,1,[248],[254],[104],,1
280,E01,5,E01/Frame005.png,1,[249],[260],[105],,1
281,E01,6,E01/Frame006.png,1,[249],[264],[106],,1
282,E01,7,E01/Frame007.png,1,[250],[267],[106],,1
283,E01,8,E01/Frame008.png,1,[250],[268],[107],,1
284,E01,9,E01/Frame009.png,1,[251],[269],[107],,1
285,E01,10,E01/Frame010.png,1,[251],[269],[107],,1
286,E01,11,E01/Frame011.png,1,[252],[268],[106],,1
287,E01,12,E01/Frame012.png,1,[253],[266],[106],,1
288,E01,13,E01/Frame013.png,1,[253],[265],[106],,1
289,E01,14,E01/Frame014.png,1,[254],[263],[106],,1
290,E01,15,E01/Frame015.png,1,[254],[262],[106],,1
291,E01,16,E01/Frame016.png,1,[254],[261],[106],,1
292,E01,17,E01/Frame017.png,1,[254],[259],[106],,1
293,E01,18,E01/Frame018.png,1,[254],[258],[106],,1
294,E01,19,E01/Frame019.png,1,[254],[257],[106],,1
295,E01,20,E01/Frame020.png,1,[254],[255],[106],,1
296,E01,21,E01/Frame021.png,1,[254],[254],[106],,1
297,E01,22,E01/Frame022.png,1,[254],[253],[106],,1
298,E01,23,E01/Frame023.png,1,[254],[252],[106],,1
299,E01,24,E01/Frame024.png,1,[254],[251],[106],,1
300,E01,25,E01/Frame025.png,1,[254],[251],[107],,1
301,E01,26,E01/Frame026.png,1,[254],[250],[107],,1
302,E01,27,E01/Frame027.png,1,[255],[250],[107],,1
303,E01,28,E01/Frame028.png,1,[255],[249],[107],,1
304,E01,29,E01/Frame029.png,1,[255],[248],[107],,1
